Gender,Age,Education,Employment,marital,fshopper,mplanner,easy,familiarity,friends,Useful,Easiness,Sufficient,Trusfulness,Clear,netquan,low in fat,low in cho,sodium,e labels
0,44,3,5,1,0,1,4,2,5,4,4,3,3,5,2,1,2,2,1
0,50,5,5,1,0,1,1,2,5,4,4,3,3,5,2,2,2,1,1
0,59,4,5,1,0,1,1,4,5,4,4,3,3,5,2,2,2,1,1
0,48,5,5,1,0,1,2,4,5,4,4,3,4,5,2,2,1,1,0
0,57,4,5,1,0,1,4,3,5,4,5,3,4,5,2,2,2,3,1
0,47,5,5,1,1,1,1,4,5,4,5,4,4,1,2,1,2,4,0
0,56,4,5,1,1,1,2,4,5,4,5,4,4,3,2,0,2,4,0
0,55,5,1,1,1,1,1,5,5,4,5,4,4,1,2,3,3,2,1
0,54,5,1,1,1,1,3,4,4,4,5,4,4,2,2,3,3,3,0
0,51,5,1,1,1,1,1,5,5,4,5,4,4,4,2,2,3,4,0
0,56,5,1,1,1,0,2,4,5,4,5,4,5,4,2,1,1,2,0
0,56,5,1,1,1,0,2,3,5,4,5,4,4,4,2,1,3,3,1
0,56,4,1,1,0,0,4,3,5,4,5,4,5,3,2,1,3,3,1
0,58,4,1,1,0,1,4,3,5,4,5,4,5,3,2,2,2,3,1
0,57,4,1,1,0,1,1,2,5,4,5,4,3,3,2,2,3,4,0
0,59,4,1,1,1,1,1,3,4,4,5,4,5,3,2,0,2,3,1
0,62,5,6,1,1,1,3,4,5,4,4,4,5,4,2,1,2,1,0
0,67,4,6,1,1,0,1,4,5,4,4,4,3,3,2,1,1,2,1
0,68,4,6,1,1,0,4,4,4,4,4,4,3,3,2,1,1,4,1
0,54,5,1,1,1,1,3,4,5,4,4,4,5,3,0,2,2,1,1
0,54,5,1,1,1,1,2,5,5,4,4,4,5,3,1,1,2,3,1
0,55,5,1,1,1,1,1,1,4,4,4,3,4,3,0,0,1,4,1
0,51,5,1,1,1,1,3,2,4,4,4,4,4,3,1,2,3,4,1
0,52,5,1,1,1,1,1,3,4,4,4,3,4,4,2,2,2,2,1
0,54,4,5,1,0,1,1,3,4,4,4,5,3,3,2,0,2,3,1
0,57,4,5,1,0,1,1,3,4,4,4,5,3,3,2,0,2,2,1
0,58,4,5,1,0,1,2,3,5,4,4,5,3,4,2,2,2,1,0
0,59,4,5,1,0,1,1,3,4,4,4,3,3,4,2,2,1,3,0
